CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
168,10091,,,0,,,,8.71680160000,+5.38525830000,2000.0000,118.80,2.70,673.60,178.20,,,,,15.535,15.443,16.243,15.088,CNS5  168
5397,13157,,,0,,2202703050401536000,,327.91636041932,+59.29292978332,2016.0000,118.18,0.02,-86.74,-19.24,,,14.3731050,13.762923,12.972,12.803,12.654,,CNS5 5397
3096,475,,,0,,1534011998572555776,61317,188.43142838334,+41.35877669408,2016.0000,118.03,0.18,-704.70,292.15,6.41,0.19,4.0946720,3.601834,3.213,2.905,2.848,1.765,CNS5 3096
1591,232,,,0,,3377365057060447616,,96.17468890917,+23.43077856957,2016.0000,117.75,0.03,550.92,-508.33,,,11.6625420,10.408452,8.662,8.156,7.911,7.687,CNS5 1591
4000,618,B,2,0,,6021430250773733632,,245.00935124845,-37.52540960855,2016.0000,117.68,0.14,-681.28,1049.95,,,12.8980230,11.444944,,,,,CNS5 4000
4001,618,A,2,1,,6021430250773348736,80018,245.01042208463,-37.52461044671,2016.0000,117.52,0.03,-748.04,988.10,,,9.4953820,8.347611,6.793,6.223,5.950,,CNS5 4001
2148,318,,,0,,5639391810273308416,,130.37950135632,-32.93649496565,2016.0000,117.45,0.02,-1061.16,1345.90,,,11.8223950,11.670317,11.578,11.539,11.547,11.567,CNS5 2148
5646,1276,,,0,,2611561706216413696,,343.48356406408,-6.78483020608,2016.0000,117.18,0.04,2485.80,-681.25,,,15.4212290,14.661167,14.013,13.685,13.546,13.325,CNS5 5646
3273,506,,,0,,3507879565090229888,64924,199.59629813235,-18.31592210065,2016.0000,117.17,0.17,-1070.20,-1063.85,-8.16,0.19,4.5325284,4.006235,3.334,2.974,2.956,,CNS5 3273
3210,493.1,,,0,,3705324881045028992,,195.13547450286,+5.68656685418,2016.0000,117.03,0.07,-940.63,227.75,,,11.7729390,10.468152,8.553,7.966,7.660,,CNS5 3210
1888,3454,AB,2,1,,,,114.10571718789,+7.07727654944,2016.0000,116.60,0.97,241.70,-298.30,,,,,,,,,CNS5 1888
